Order,Planning plant,Material Number,Material description,Batch,MRP controller,Order Type,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Production Version
1030263,RB11,UGTCOTM20-DR000250,COSMONATE TM-20,CG9063,F03,PP01,"5,625.000",KG,23-07-19,25-07-19,0003
1030264,RB11,UGPV1205A-BLK01100,THAMOL VB-1205-A,CG9021,F03,PP01,"9,965.900",KG,23-07-19,25-07-19,0006
1030265,RB11,UGPMP2164-DR000200,MP-2164(D),CG9055,F03,PP01,"1,788.000",KG,23-07-19,25-07-19,0002
1030266,RB11,UGMCOPM33-CN000020,COSMONATE PM-33,CG9005,F03,PP01,"1,300.000",KG,23-07-19,25-07-19,0001
1030269,RB11,UGPCL1799-DR000200,THAMOL CL-1799,CG9010,F03,PP01,981.600,KG,23-07-19,25-07-19,0002
1030270,RB11,UGPSL1960-DR000200,THAMOL SL-1960,CG9003,F03,PP01,371.700,KG,23-07-19,25-07-19,0001
1030271,RB11,ENK868000-DR000180,EPOKEY 868,CG9009,F01,PP01,"10,200.000",KG,23-07-19,25-07-19,0001
1030272,RB11,ENJQC4175-DR000200,OLESTER QC417-5,CG9007,F01,PP01,"7,023.400",KG,23-07-19,25-07-19,0001
1030273,RB11,ENJQC418H-DR000200,OLESTER QC418HT,CG9013,F01,PP01,"6,920.800",KG,23-07-19,25-07-19,0002
1030274,RB11,ENR225000-DR000200,U-VAN 225,CG9005,F01,PP01,"4,836.200",KG,23-07-19,25-07-19,0001
1030275,RB11,RKBB610CT-PB000120,PROMINATE BMST-610CT,CG9069,F01,PP01,"4,000.000",KG,23-07-19,24-07-19,0001
1030293,RB11,RKOSN500A-CN000250,SN-500A,790705W,F01,PP01,"1,275.650",KG,23-07-19,25-07-19,0002
1030294,RB11,RKOSN500A-CN000250,SN-500A,790706W,F01,PP01,"1,275.650",KG,23-07-19,25-07-19,0002
1030309,RB11,ERABW5600-BLK01000,STRUCT BOND BW-5600,CG9023,F02,PP01,"8,029.700",KG,23-07-19,25-07-19,0001
1030313,RB11,ENGAL9086-DR000200,ALMATEX-A-9086,CG9008,F02,PP01,"1,700.000",KG,23-07-19,25-07-19,0001
1030315,RB11,ENCH3150B-BLK01000,HOPELON-3150B,CG9093,F02,PP01,"4,099.350",KG,23-07-19,25-07-19,0001
1030317,RB11,RKOSBBSA4-DR000080,STARBOND-BSA 4,CG9035,F02,PP01,"1,042.400",KG,23-07-19,25-07-19,0001
1030332,RB11,RKALA9055-DR000200,ALMATEX-A-9055,CG9001,F02,PP01,"1,552.000",KG,23-07-19,25-07-19,0001
